stock_code,corp_name,kets_name,induty_code,kets_ksic,size_class,kets_match_note
329180,에이치디현대중공업(주),에이치디현대중공업 주식회사,31113,31111,대기업,
014680,(주)한솔케미칼,(주)한솔케미칼,20129,20129,중견,
097800,(주)윈팩,주식회사 윈팩,2612,26111,중소,
005930,삼성전자(주),삼성전자 주식회사,264,26111,대기업,
004890,동일산업(주),동일산업주식회사,24113,24113,중견,
122350,(주)삼기,주식회사 삼기,303,30310,중견,
002350,넥센타이어(주),넥센타이어(주),221,22111,중견,
198440,(주)강동씨앤엘,(주)강동씨앤엘,233,23311,중소,
047400,유니온머티리얼(주),유니온머티리얼(주),23222,23222,중견,
145990,(주)삼양사,주식회사 삼양사,108,10620,중견,
204320,에이치엘만도(주),에이치엘만도 주식회사,303,30392,중견,
344820,(주)케이씨씨글라스,주식회사 케이씨씨글라스,2311,23111,대기업,
007660,(주)이수페타시스,(주)이수페타시스,2622,26223,중견,
001020,페이퍼코리아(주),페이퍼코리아,171,17123,중견,
280360,롯데웰푸드(주),롯데웰푸드(주),108,10713,대기업,
143210,핸즈코퍼레이션(주),핸즈코퍼레이션주식회사,303,30399,중견,
007280,(주)한국특강,(주)한국특강,24121,24112,중견,
010130,고려아연(주),고려아연 주식회사,24213,24213,대기업,
024880,(주)케이피에프,주식회사 케이피에프,259,25941,중견,
012800,(주)대창,주식회사 대창,24221,24221,중견,
002710,(주)TCC스틸,(주)티씨씨스틸,24191,24191,중견,
014820,동원시스템즈(주),동원시스템즈(주),222,23192,중견,업종 대분류 불일치(확인 필요)
027970,한국제지(주),한국제지 주식회사,171,17122,중견,
004490,세방전지(주),세방전지(주),28202,28202,중견,
300720,한일시멘트(주),한일시멘트 주식회사,23311,23311,중견,
025750,(주)한솔홈데코,(주)한솔홈데코,161,16212,중견,
247540,(주)에코프로비엠,(주)에코프로비엠,28202,28202,중견,
003230,삼양식품(주),삼양식품(주),108,10730,중견,
095500,미래나노텍(주),미래나노텍(주),2229,26299,중견,업종 대분류 불일치(확인 필요)
439260,대한조선 주식회사,대한조선주식회사,3111,31111,중견,
373220,(주)엘지에너지솔루션,주식회사 엘지에너지솔루션,28202,28202,대기업,
001070,대한방직(주),대한방직(주),132,13402,중견,
000880,(주)한화,(주)한화,20494,20494,대기업,
069460,(주)대호에이엘,주식회사 대호에이엘,24222,24222,중견,
103140,(주)풍산,주식회사 풍산,242,24221,중견,
012450,한화에어로스페이스(주),한화에어로스페이스 주식회사,31321,25200,대기업,업종 대분류 불일치(확인 필요)
029460,(주)케이씨,케이씨주식회사,27216,20129,중견,업종 대분류 불일치(확인 필요)
066900,(주)디에이피,(주)디에이피,2622,26221,중견,
009460,(주)한창제지,(주)한창제지,171,17123,중견,
267980,매일유업 주식회사,매일유업(주),104,10501,중견,
001080,만호제강(주),만호제강(주),24123,24123,중견,
073240,금호타이어(주),금호타이어(주),221,22111,중견,
079980,(주)휴비스,휴비스,20501,20501,중견,
082740,한화엔진(주),한화엔진 주식회사,29111,29111,대기업,
161000,애경케미칼(주),애경케미칼(주),201,20111,중견,
000270,기아(주),기아(주),30121,30121,대기업,
128940,한미약품(주),한미약품(주),21212,21210,중견,
004020,현대제철(주),현대제철 주식회사,2411,24111,대기업,
004540,깨끗한나라(주),깨끗한나라 주식회사,171,17129,중견,
